15:19:35 AsmHelper Transforming
15:19:35 AsmHelper Applying AsmWriter
15:19:38 Grow BufferBuilder buffer
15:19:40 Grow BufferBuilder buffer
15:19:43 Grow BufferBuilder buffer
15:19:47 Grow BufferBuilder buffer
15:19:47 Grow BufferBuilder buffer
15:22:10 Grow BufferBuilder buffer
15:22:10 Grow BufferBuilder buffer
15:22:10 Grow BufferBuilder buffer
