19:43:14 AsmHelper Transforming
19:43:14 AsmHelper Applying AsmWriter
19:43:20 Grow BufferBuilder buffer
19:43:20 Grow BufferBuilder buffer
19:43:43 Grow BufferBuilder buffer
19:43:49 Grow BufferBuilder buffer
19:44:07 Grow BufferBuilder buffer
19:44:47 Grow BufferBuilder buffer
19:44:47 Grow BufferBuilder buffer
19:44:50 Grow BufferBuilder buffer
19:44:50 Grow BufferBuilder buffer
19:47:21 Grow BufferBuilder buffer
