00:51:18 AsmHelper Transforming
00:51:18 AsmHelper Applying AsmWriter
00:51:26 Grow BufferBuilder buffer
00:51:28 Grow BufferBuilder buffer
00:51:30 Grow BufferBuilder buffer
00:51:33 Grow BufferBuilder buffer
00:51:33 Grow BufferBuilder buffer
00:51:35 Biome ID bounds
00:53:46 Grow BufferBuilder buffer
01:18:23 Grow BufferBuilder buffer
01:22:44 Grow BufferBuilder buffer
01:22:46 Grow BufferBuilder buffer
01:28:36 Grow BufferBuilder buffer
01:34:56 Grow BufferBuilder buffer
01:47:45 Grow BufferBuilder buffer
01:47:45 Grow BufferBuilder buffer
01:47:45 Grow BufferBuilder buffer
01:47:45 Grow BufferBuilder buffer
01:48:33 Grow BufferBuilder buffer
01:48:33 Grow BufferBuilder buffer
01:48:34 Grow BufferBuilder buffer
01:48:47 Grow BufferBuilder buffer
01:48:47 Grow BufferBuilder buffer
