10:02:48 AsmHelper Transforming
10:02:48 AsmHelper Applying AsmWriter
10:02:52 Grow BufferBuilder buffer
10:02:53 Grow BufferBuilder buffer
10:03:16 Grow BufferBuilder buffer
10:03:19 Grow BufferBuilder buffer
10:03:35 Grow BufferBuilder buffer
10:06:41 Grow BufferBuilder buffer
10:06:41 Grow BufferBuilder buffer
10:06:41 Grow BufferBuilder buffer
10:06:41 Grow BufferBuilder buffer
10:15:50 Grow BufferBuilder buffer
10:15:50 Grow BufferBuilder buffer
10:15:50 Grow BufferBuilder buffer
10:15:50 Grow BufferBuilder buffer
10:16:53 Grow BufferBuilder buffer
10:19:20 Grow BufferBuilder buffer
10:19:24 Grow BufferBuilder buffer
10:20:35 Grow BufferBuilder buffer
10:23:31 Biome ID bounds
10:23:31 Biome ID bounds
10:23:31 Biome ID bounds
10:23:31 Biome ID bounds
