18:43:30 AsmHelper Transforming
18:43:30 AsmHelper Applying AsmWriter
18:43:35 Grow BufferBuilder buffer
18:43:36 Grow BufferBuilder buffer
18:43:36 Grow BufferBuilder buffer
18:43:44 Grow BufferBuilder buffer
18:43:47 Grow BufferBuilder buffer
18:46:54 Grow BufferBuilder buffer
18:49:36 Grow BufferBuilder buffer
18:49:37 Grow BufferBuilder buffer
18:49:55 Grow BufferBuilder buffer
18:51:16 Grow BufferBuilder buffer
19:26:07 Grow BufferBuilder buffer
19:26:09 Grow BufferBuilder buffer
19:26:53 Grow BufferBuilder buffer
19:57:24 Grow BufferBuilder buffer
20:22:15 Grow BufferBuilder buffer
20:22:15 Grow BufferBuilder buffer
20:22:22 Grow BufferBuilder buffer
20:22:33 Grow BufferBuilder buffer
20:46:32 Grow BufferBuilder buffer
22:31:02 Biome ID bounds
22:31:02 Biome ID bounds
22:31:02 Biome ID bounds
22:31:02 Biome ID bounds
