20:21:18 AsmHelper Transforming
20:21:18 AsmHelper Applying AsmWriter
20:21:28 Grow BufferBuilder buffer
20:21:29 Grow BufferBuilder buffer
20:21:29 Grow BufferBuilder buffer
20:21:31 Grow BufferBuilder buffer
20:21:34 Grow BufferBuilder buffer
21:13:02 Grow BufferBuilder buffer
21:24:11 Grow BufferBuilder buffer
21:24:11 Grow BufferBuilder buffer
21:55:34 Biome ID bounds
21:55:34 Biome ID bounds
21:55:34 Biome ID bounds
21:55:34 Biome ID bounds
21:56:09 Grow BufferBuilder buffer
22:03:19 Grow BufferBuilder buffer
22:05:15 Grow BufferBuilder buffer
22:06:39 Grow BufferBuilder buffer
22:06:39 Grow BufferBuilder buffer
22:06:39 Grow BufferBuilder buffer
22:06:40 Grow BufferBuilder buffer
22:29:15 Grow BufferBuilder buffer
01:00:04 Biome ID bounds
01:00:04 Biome ID bounds
01:00:04 Biome ID bounds
01:00:04 Biome ID bounds
01:01:10 Biome ID bounds
01:01:10 Biome ID bounds
01:01:10 Biome ID bounds
01:02:20 Grow BufferBuilder buffer
