12:48:18 AsmHelper Transforming
12:48:18 AsmHelper Applying AsmWriter
12:48:25 Grow BufferBuilder buffer
12:49:28 Grow BufferBuilder buffer
12:49:28 Grow BufferBuilder buffer
12:49:28 Grow BufferBuilder buffer
12:49:31 Grow BufferBuilder buffer
12:49:31 Grow BufferBuilder buffer
12:49:32 Grow BufferBuilder buffer
12:49:33 Grow BufferBuilder buffer
12:49:33 Grow BufferBuilder buffer
13:03:48 Grow BufferBuilder buffer
