15:57:41 Reset everything (world change)
15:57:59 Reset everything (world change)
15:58:19 Reset everything (world change)
15:58:19 Reset everything (world change)
15:58:19 Reset everything (world change)
16:04:34 Reset everything (world change)
16:04:35 Reset everything (world change)
16:04:35 Reset everything (world change)
16:51:35 Reset everything (world change)
16:51:50 Reset everything (world change)
16:51:50 Reset everything (world change)
16:51:51 Reset everything (world change)
16:52:37 Reset everything (world change)
16:52:38 Reset everything (world change)
16:52:38 Reset everything (world change)
16:54:52 Reset everything (world change)
16:54:52 Reset everything (world change)
16:54:52 Reset everything (world change)
16:57:02 Reset everything (world change)
16:57:03 Reset everything (world change)
16:57:03 Reset everything (world change)
17:06:25 Added enderman with beacon at LorenzVec{x=-524.4166666666666, y=38.0, z=-307.4166666666667}
17:06:28 Added flying beacons at LorenzVec{x=-520.9895833333334, y=37.84375, z=-305.1458333333333}
17:06:28 Replaced flying beacon with sitting beacon at LorenzVec{x=-517.0, y=39.0, z=-300.0}
17:06:28 Added flying beacons at LorenzVec{x=-517.2916666666666, y=38.59375, z=-300.4895833333333}
17:06:30 Removed sitting beacon LorenzVec{x=-517.0, y=39.0, z=-300.0}
17:06:33 Added enderman with beacon at LorenzVec{x=-521.8125, y=38.09375, z=-305.09375}
17:06:36 Added flying beacons at LorenzVec{x=-520.84375, y=37.5, z=-305.0625}
17:06:37 Replaced flying beacon with sitting beacon at LorenzVec{x=-514.0, y=40.0, z=-312.0}
17:06:40 Removed sitting beacon LorenzVec{x=-514.0, y=40.0, z=-312.0}
17:06:42 Added enderman with beacon at LorenzVec{x=-516.125, y=38.0, z=-312.625}
17:06:44 Added flying beacons at LorenzVec{x=-524.1666666666666, y=37.729166666666664, z=-302.3645833333333}
17:06:45 Replaced flying beacon with sitting beacon at LorenzVec{x=-524.0, y=38.0, z=-292.0}
17:06:46 Removed sitting beacon LorenzVec{x=-524.0, y=38.0, z=-292.0}
17:06:50 Added enderman with beacon at LorenzVec{x=-527.7638888888889, y=38.107638888888886, z=-297.4513888888889}
17:06:52 Added flying beacons at LorenzVec{x=-525.4375, y=37.8125, z=-302.7291666666667}
17:06:53 Replaced flying beacon with sitting beacon at LorenzVec{x=-518.0, y=39.0, z=-300.0}
17:06:53 Added flying beacons at LorenzVec{x=-519.0833333333333, y=38.6875, z=-300.15625}
17:06:54 Removed sitting beacon LorenzVec{x=-518.0, y=39.0, z=-300.0}
17:06:56 Added flying beacons at LorenzVec{x=-512.1458333333334, y=39.072916666666664, z=-288.5833333333333}
17:06:56 Replaced flying beacon with sitting beacon at LorenzVec{x=-512.0, y=39.0, z=-293.0}
17:06:58 Removed sitting beacon LorenzVec{x=-512.0, y=39.0, z=-293.0}
17:07:14 Added enderman with beacon at LorenzVec{x=-522.71875, y=38.0, z=-309.0625}
17:07:16 Added flying beacons at LorenzVec{x=-529.7291666666666, y=37.770833333333336, z=-305.6041666666667}
17:07:17 Replaced flying beacon with sitting beacon at LorenzVec{x=-527.0, y=38.0, z=-298.0}
17:07:17 Added flying beacons at LorenzVec{x=-527.2083333333333, y=37.92708333333333, z=-299.22916666666663}
17:07:18 Removed sitting beacon LorenzVec{x=-527.0, y=38.0, z=-298.0}
17:07:22 Added enderman with beacon at LorenzVec{x=-524.71875, y=38.0, z=-303.5625}
17:07:25 Added flying beacons at LorenzVec{x=-523.6875, y=37.5, z=-304.34375}
17:07:30 Added enderman with beacon at LorenzVec{x=-524.6875, y=38.09375, z=-304.15625}
17:07:33 Added flying beacons at LorenzVec{x=-521.0208333333334, y=37.78125, z=-310.28125}
17:07:33 Replaced flying beacon with sitting beacon at LorenzVec{x=-518.0, y=38.0, z=-318.0}
17:07:33 Added flying beacons at LorenzVec{x=-518.0833333333333, y=37.76041666666667, z=-316.33333333333337}
17:07:36 Removed sitting beacon LorenzVec{x=-518.0, y=38.0, z=-318.0}
17:07:38 Added enderman with beacon at LorenzVec{x=-519.28125, y=38.0, z=-316.0}
17:07:41 Added flying beacons at LorenzVec{x=-525.5, y=37.760416666666664, z=-301.7395833333333}
17:07:41 Replaced flying beacon with sitting beacon at LorenzVec{x=-526.0, y=38.0, z=-293.0}
17:07:41 Added flying beacons at LorenzVec{x=-525.5, y=37.8125, z=-294.03125}
17:07:45 Removed sitting beacon LorenzVec{x=-526.0, y=38.0, z=-293.0}
17:07:46 Added enderman with beacon at LorenzVec{x=-525.0833333333334, y=38.0, z=-300.8541666666667}
17:07:49 Added flying beacons at LorenzVec{x=-519.9583333333334, y=37.864583333333336, z=-307.9895833333333}
17:07:49 Replaced flying beacon with sitting beacon at LorenzVec{x=-514.0, y=40.0, z=-313.0}
17:07:52 Removed sitting beacon LorenzVec{x=-514.0, y=40.0, z=-313.0}
17:07:54 Added enderman with beacon at LorenzVec{x=-516.3125, y=38.03125, z=-310.0}
17:13:26 Added enderman with beacon at LorenzVec{x=-581.9479166666666, y=51.0, z=-230.98611111111111}
17:13:29 Added flying beacons at LorenzVec{x=-578.53125, y=50.791666666666664, z=-235.55208333333334}
17:13:30 Replaced flying beacon with sitting beacon at LorenzVec{x=-576.0, y=52.0, z=-245.0}
17:13:31 Removed sitting beacon LorenzVec{x=-576.0, y=52.0, z=-245.0}
17:13:35 Added enderman with beacon at LorenzVec{x=-565.21875, y=51.0, z=-237.88541666666669}
17:13:37 Added flying beacons at LorenzVec{x=-569.8020833333334, y=50.760416666666664, z=-237.64583333333334}
17:13:38 Replaced flying beacon with sitting beacon at LorenzVec{x=-562.0, y=51.0, z=-234.0}
17:13:38 Added flying beacons at LorenzVec{x=-562.90625, y=50.84375, z=-234.21875}
17:13:39 Removed sitting beacon LorenzVec{x=-562.0, y=51.0, z=-234.0}
17:13:43 Added enderman with beacon at LorenzVec{x=-569.5335648148149, y=51.0, z=-239.12152777777777}
17:13:45 Added flying beacons at LorenzVec{x=-567.0833333333334, y=50.75, z=-237.85416666666666}
17:13:46 Replaced flying beacon with sitting beacon at LorenzVec{x=-565.0, y=51.0, z=-229.0}
17:13:46 Added flying beacons at LorenzVec{x=-565.03125, y=50.9375, z=-230.40625}
17:13:47 Removed sitting beacon LorenzVec{x=-565.0, y=51.0, z=-229.0}
17:13:51 Added enderman with beacon at LorenzVec{x=-567.15625, y=51.09375, z=-238.0625}
17:13:53 Added flying beacons at LorenzVec{x=-566.71875, y=50.5, z=-237.15625}
17:13:54 Replaced flying beacon with sitting beacon at LorenzVec{x=-559.0, y=53.0, z=-242.0}
17:13:55 Removed sitting beacon LorenzVec{x=-559.0, y=53.0, z=-242.0}
17:13:59 Added enderman with beacon at LorenzVec{x=-569.9895833333333, y=51.0, z=-238.64583333333331}
17:14:01 Added flying beacons at LorenzVec{x=-569.21875, y=50.791666666666664, z=-237.17708333333334}
17:14:02 Replaced flying beacon with sitting beacon at LorenzVec{x=-572.0, y=51.0, z=-245.0}
17:14:02 Added flying beacons at LorenzVec{x=-570.8125, y=51.21875, z=-242.3125}
17:14:03 Removed sitting beacon LorenzVec{x=-572.0, y=51.0, z=-245.0}
17:14:07 Added enderman with beacon at LorenzVec{x=-573.5625, y=51.0, z=-242.71875}
17:14:24 Added flying beacons at LorenzVec{x=-573.7708333333334, y=50.770833333333336, z=-237.85416666666666}
17:14:25 Replaced flying beacon with sitting beacon at LorenzVec{x=-574.0, y=51.0, z=-247.0}
17:14:25 Added flying beacons at LorenzVec{x=-573.5625, y=50.6875, z=-245.4375}
17:14:26 Removed sitting beacon LorenzVec{x=-574.0, y=51.0, z=-247.0}
17:26:23 Added enderman with beacon at LorenzVec{x=-574.5972222222223, y=51.0, z=-236.9375}
17:26:26 Added flying beacons at LorenzVec{x=-572.0520833333334, y=50.729166666666664, z=-238.27083333333334}
17:26:26 Replaced flying beacon with sitting beacon at LorenzVec{x=-572.0, y=51.0, z=-228.0}
17:26:26 Added flying beacons at LorenzVec{x=-571.5625, y=50.53125, z=-228.46875}
17:26:28 Removed sitting beacon LorenzVec{x=-572.0, y=51.0, z=-228.0}
17:26:31 Added enderman with beacon at LorenzVec{x=-567.21875, y=51.5625, z=-228.46875}
17:26:34 Added flying beacons at LorenzVec{x=-567.125, y=50.96875, z=-229.46875}
17:26:34 Replaced flying beacon with sitting beacon at LorenzVec{x=-570.0, y=51.0, z=-239.0}
