21:49:06 AsmHelper Transforming
21:49:06 AsmHelper Applying AsmWriter
21:49:13 Grow BufferBuilder buffer
21:49:19 Grow BufferBuilder buffer
21:49:20 Grow BufferBuilder buffer
21:49:23 Grow BufferBuilder buffer
21:49:25 Grow BufferBuilder buffer
21:52:51 Grow BufferBuilder buffer
21:52:54 Grow BufferBuilder buffer
21:52:58 Grow BufferBuilder buffer
21:53:03 Grow BufferBuilder buffer
21:53:38 Grow BufferBuilder buffer
