12:39:48 AsmHelper Transforming
12:39:48 AsmHelper Applying AsmWriter
12:40:13 Grow BufferBuilder buffer
12:51:32 Grow BufferBuilder buffer
12:51:32 Grow BufferBuilder buffer
12:51:35 Grow BufferBuilder buffer
12:51:37 Grow BufferBuilder buffer
13:18:16 Grow BufferBuilder buffer
13:18:17 Grow BufferBuilder buffer
13:18:23 Grow BufferBuilder buffer
13:18:23 Grow BufferBuilder buffer
13:18:23 Grow BufferBuilder buffer
13:18:24 Grow BufferBuilder buffer
13:18:24 Grow BufferBuilder buffer
13:18:24 Grow BufferBuilder buffer
13:18:24 Grow BufferBuilder buffer
13:18:25 Grow BufferBuilder buffer
13:19:04 Grow BufferBuilder buffer
13:19:04 Grow BufferBuilder buffer
16:47:07 Grow BufferBuilder buffer
17:10:10 Biome ID bounds
